Autor,Jahr,Titel,URL,Ort,Verlag,Seite / Zeile,Last edited time,Inhalt
CIA,1975,Summary of Facts – Investigation of CIA Involvement in Plans to Assassinate Foreign Leaders,https://www.fordlibrarymuseum.gov/library/document/0005/7324009.pdf,,,,"October 23, 2023 12:24 PM",
"May, Ernest R.; Zelikow, Philip ",1997,The Kennedy Tapes: Inside the White House During the Cuban Missile Crisis,,Cambridge,MA,,"October 23, 2023 11:45 AM",
"Filippovych, Dimitrij N.",2005,Vor dem Abgrund : die Streitkräfte der USA und UdSSR sowie ihrer deutschen Bündnispartner in der Kubakrise,,München,Oldenbourg,,"October 23, 2023 11:53 AM",
"Bohning, Don",2005,The Castro Obsession. U.S. Covert Operations against Cuba 1959–1965,,Sterling,Potomac Books,,"October 23, 2023 12:07 PM",
"Skierka, Volker",2016,"Zum Tod Fidel Castros
Geliebt, gehasst, gefürchtet",https://www.deutschlandfunk.de/zum-tod-fidel-castros-geliebt-gehasst-gefuerchtet-100.html,,,,"October 23, 2023 12:24 PM",
"Zeuske, Michael",2008,Fidel Castro und die Geschichte Kubas,https://www.bpb.de/themen/mittel-suedamerika/lateinamerika/44783/fidel-castro-und-die-geschichte-kubas/,,,,"October 23, 2023 12:36 PM",
"Höpoltseder, Julia Valentina",2019,"Die USA, Kuba und die Sowjetunion:
Eine Dreiecksbeziehung und ihre Zuspitzung in der KubaKrise",https://services.phaidra.univie.ac.at/api/object/o:1352062/get,Wien,Universität Wien,66- 107; 109f.,"October 23, 2023 1:12 PM",
"Brunold, Robin",2014,Geschichte der Kuba-Krise – Als die Welt am atomaren Abgrund stand,https://www.geschichte-lernen.net/kuba-krise/#ftoc-heading-11,,,,"October 23, 2023 1:12 PM",
Bundeszentrale für politische Bildung (bpb),2018,26. Juli 1953: Beginn der kubanischen Revolution,https://www.bpb.de/kurz-knapp/hintergrund-aktuell/273310/26-juli-1953-beginn-der-kubanischen-revolution/,,,,"October 23, 2023 1:13 PM",
Geschichte Lk,2014,Kennedys Kuba-Krise Rede,https://www.youtube.com/watch?v=heCsSCk9Mc0,,,,"October 23, 2023 1:59 PM",
